date,temperature,humidite
2025-10-06 02:00:00,13.2,82
2025-10-06 02:10:00,13.2,82
2025-10-06 02:20:00,13.1,82
2025-10-06 02:30:00,13.2,82
2025-10-06 02:40:00,13.3,82
2025-10-06 02:50:00,13.3,83
2025-10-06 03:00:00,13.5,83
2025-10-06 03:10:00,13.7,83
2025-10-06 03:20:00,13.8,82
2025-10-06 03:30:00,13.9,82
2025-10-06 03:40:00,13.9,82
2025-10-06 03:50:00,14,82
2025-10-06 04:00:00,14,81
2025-10-06 04:10:00,14.1,81
2025-10-06 04:20:00,14.1,80
2025-10-06 04:30:00,14.1,80
2025-10-06 04:40:00,14.1,80
2025-10-06 04:50:00,14.1,81
2025-10-06 05:00:00,14.1,81
2025-10-06 05:10:00,14.1,81
2025-10-06 05:20:00,14.1,82
2025-10-06 05:30:00,14,82
2025-10-06 05:40:00,14,83
2025-10-06 05:50:00,14.1,82
2025-10-06 06:00:00,14.1,82
2025-10-06 06:10:00,14.1,82
2025-10-06 06:20:00,14.1,82
2025-10-06 06:30:00,14.1,80
2025-10-06 06:40:00,14.1,80
2025-10-06 06:50:00,14.2,80
2025-10-06 07:00:00,14.2,80
2025-10-06 07:10:00,14.3,83
2025-10-06 07:20:00,14.3,84
2025-10-06 07:30:00,14.4,85
2025-10-06 07:40:00,14.5,86
2025-10-06 07:50:00,14.5,85
2025-10-06 08:00:00,14.6,86
2025-10-06 08:10:00,14.7,86
2025-10-06 08:20:00,14.8,86
2025-10-06 08:30:00,14.9,86
2025-10-06 08:40:00,14.8,86
2025-10-06 08:50:00,14.5,87
2025-10-06 09:00:00,14.4,86
2025-10-06 09:10:00,14.6,85
2025-10-06 09:20:00,14.7,83
2025-10-06 09:30:00,14.8,82
2025-10-06 09:40:00,14.9,82
2025-10-06 09:50:00,14.8,84
2025-10-06 10:00:00,14.7,84
2025-10-06 10:10:00,14.6,85
2025-10-06 10:20:00,14.5,85
2025-10-06 10:30:00,14.7,84
2025-10-06 10:40:00,14.8,84
2025-10-06 10:50:00,14.8,83
2025-10-06 11:00:00,14.8,84
2025-10-06 11:10:00,14.7,84
2025-10-06 11:20:00,14.6,85
2025-10-06 11:30:00,14.4,86
2025-10-06 11:40:00,14.6,87
2025-10-06 11:50:00,14.8,87
2025-10-06 12:00:00,15,85
2025-10-06 12:10:00,15.1,84
2025-10-06 12:20:00,15.2,84
2025-10-06 12:30:00,15.2,82
2025-10-06 12:40:00,15.4,83
2025-10-06 12:50:00,15.5,83
2025-10-06 13:00:00,15.4,83
2025-10-06 13:10:00,15.3,82
2025-10-06 13:20:00,15.3,82
2025-10-06 13:30:00,15.3,82
2025-10-06 13:40:00,15.3,83
2025-10-06 13:50:00,15.2,83
2025-10-06 14:00:00,15.3,83
2025-10-06 14:10:00,15.2,82
2025-10-06 14:20:00,15.2,82
2025-10-06 14:30:00,15.2,82
2025-10-06 14:40:00,15.1,82
2025-10-06 14:50:00,15.1,82
2025-10-06 15:00:00,14.9,83
2025-10-06 15:10:00,14.9,83
2025-10-06 15:20:00,14.9,82
2025-10-06 15:30:00,15.1,81
2025-10-06 15:40:00,15.1,81
2025-10-06 15:50:00,15.1,82
2025-10-06 16:00:00,14.9,83
2025-10-06 16:10:00,14.9,83
2025-10-06 16:20:00,14.8,84
2025-10-06 16:30:00,14.7,85
2025-10-06 16:40:00,14.7,85
2025-10-06 16:50:00,14.7,85
